"AphiaID","url","scientificname","rank","valid_name","kingdom","phylum","class","order","family","genus","lsid"
232546,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=232546","Akashiwo sanguinea","Species","Akashiwo sanguinea","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","urn:lsid:marinespecies.org:taxname:232546"
109470,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=109470","Alexandrium","Genus","Alexandrium","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","urn:lsid:marinespecies.org:taxname:109470"
109506,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=109506","Ceratium","Genus","Ceratium","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","urn:lsid:marinespecies.org:taxname:109506"
109474,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=109474","Cochlodinium","Genus","Cochlodinium","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Cochlodinium","urn:lsid:marinespecies.org:taxname:109474"
109462,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=109462","Dinophysis","Genus","Dinophysis","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Dinophysaceae","Dinophysis","urn:lsid:marinespecies.org:taxname:109462"
109475,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=109475","Gymnodinium","Genus","Gymnodinium","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","urn:lsid:marinespecies.org:taxname:109475"
233592,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=233592","Lingulodinium polyedra","Species","Lingulodinium polyedra","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Lingulodinium","urn:lsid:marinespecies.org:taxname:233592"
109566,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=109566","Prorocentrum","Genus","Prorocentrum","Chromista","Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","urn:lsid:marinespecies.org:taxname:109566"
149153,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=149153","Pseudo-nitzschia delicatissima","Species","Pseudo-nitzschia delicatissima","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","urn:lsid:marinespecies.org:taxname:149153"
149152,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=149152","Pseudo-nitzschia seriata","Species","Pseudo-nitzschia seriata","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","urn:lsid:marinespecies.org:taxname:149152"
